mode,k,q,op,key_index,sample_index,nanoseconds
tensor_reference,8,37,sign,1,29,18376
tensor_reference,8,37,sign,1,30,18328
tensor_reference,8,37,sign,1,31,18362
tensor_reference,8,37,sign,1,32,18340
tensor_reference,8,37,sign,1,33,18355
tensor_reference,8,37,sign,1,34,18341
tensor_reference,8,37,sign,1,35,20153
tensor_reference,8,37,sign,1,36,18240
tensor_reference,8,37,sign,1,37,18417
tensor_reference,8,37,sign,1,38,18413
tensor_reference,8,37,sign,1,39,18332
tensor_reference,8,37,sign,2,0,18384
tensor_reference,8,37,sign,2,1,18424
tensor_reference,8,37,sign,2,2,18376
tensor_reference,8,37,sign,2,3,18420
tensor_reference,8,37,sign,2,4,18296
tensor_reference,8,37,sign,2,5,21208
tensor_reference,8,37,sign,2,6,20105
tensor_reference,8,37,sign,2,7,18300
tensor_reference,8,37,sign,2,8,18309
tensor_reference,8,37,sign,2,9,18384
tensor_reference,8,37,sign,2,10,18422
tensor_reference,8,37,sign,2,11,18303
tensor_reference,8,37,sign,2,12,18444
tensor_reference,8,37,sign,2,13,18299
tensor_reference,8,37,sign,2,14,20090
tensor_reference,8,37,sign,2,15,18523
tensor_reference,8,37,sign,2,16,18342
tensor_reference,8,37,sign,2,17,18363
tensor_reference,8,37,sign,2,18,18316
tensor_reference,8,37,sign,2,19,18371
tensor_reference,8,37,sign,2,20,18512
tensor_reference,8,37,sign,2,21,18407
tensor_reference,8,37,sign,2,22,20214
tensor_reference,8,37,sign,2,23,18287
tensor_reference,8,37,sign,2,24,18244
tensor_reference,8,37,sign,2,25,18342
tensor_reference,8,37,sign,2,26,18275
tensor_reference,8,37,sign,2,27,18372
tensor_reference,8,37,sign,2,28,18368
tensor_reference,8,37,sign,2,29,18305
tensor_reference,8,37,sign,2,30,20125
tensor_reference,8,37,sign,2,31,18318
tensor_reference,8,37,sign,2,32,18291
tensor_reference,8,37,sign,2,33,18360
tensor_reference,8,37,sign,2,34,18366
tensor_reference,8,37,sign,2,35,18340
tensor_reference,8,37,sign,2,36,18314
tensor_reference,8,37,sign,2,37,18280
tensor_reference,8,37,sign,2,38,20054
tensor_reference,8,37,sign,2,39,18320
tensor_reference,8,37,verify,0,0,21227
tensor_reference,8,37,verify,0,1,21411
tensor_reference,8,37,verify,0,2,21341
tensor_reference,8,37,verify,0,3,21420
tensor_reference,8,37,verify,0,4,21372
tensor_reference,8,37,verify,0,5,21393
tensor_reference,8,37,verify,0,6,21351
tensor_reference,8,37,verify,0,7,21337
tensor_reference,8,37,verify,0,8,20259
tensor_reference,8,37,verify,0,9,21388
tensor_reference,8,37,verify,0,10,21336
tensor_reference,8,37,verify,0,11,21366
tensor_reference,8,37,verify,0,12,20247
tensor_reference,8,37,verify,0,13,21346
tensor_reference,8,37,verify,0,14,21329
tensor_reference,8,37,verify,0,15,20177
tensor_reference,8,37,verify,0,16,21346
tensor_reference,8,37,verify,0,17,21312
tensor_reference,8,37,verify,0,18,21376
tensor_reference,8,37,verify,0,19,21312
tensor_reference,8,37,verify,0,20,21317
tensor_reference,8,37,verify,0,21,21352
tensor_reference,8,37,verify,0,22,22913
tensor_reference,8,37,verify,0,23,21324
tensor_reference,8,37,verify,0,24,21350
tensor_reference,8,37,verify,0,25,21324
tensor_reference,8,37,verify,0,26,18990
tensor_reference,8,37,verify,0,27,21460
tensor_reference,8,37,verify,0,28,20164
tensor_reference,8,37,verify,0,29,21434
tensor_reference,8,37,verify,0,30,21411
tensor_reference,8,37,verify,0,31,20154
tensor_reference,8,37,verify,0,32,21354
tensor_reference,8,37,verify,0,33,21386
tensor_reference,8,37,verify,0,34,21349
tensor_reference,8,37,verify,0,35,21354
tensor_reference,8,37,verify,0,36,21398
tensor_reference,8,37,verify,0,37,21374
tensor_reference,8,37,verify,0,38,21287
tensor_reference,8,37,verify,0,39,21399
tensor_reference,8,37,verify,1,0,21217
tensor_reference,8,37,verify,1,1,21423
tensor_reference,8,37,verify,1,2,21404
tensor_reference,8,37,verify,1,3,20205
